VarName,Centroid-i,weight,Mean,Std
hours-per-week,1,0.19322,27.77,11.92
hours-per-week,2,0.46569,40,0.1
hours-per-week,3,0.05051,53.8,6.97
hours-per-week,4,0.13165,52.02,20.72
hours-per-week,5,0.05105,53.95,7.23
hours-per-week,6,0.10788,48.49,2.39
age,1,0.1427,31.37,8.39
age,2,0.18711,26.35,5.9
age,3,0.16313,43.14,12.26
age,4,0.14163,36.4,10.26
age,5,0.21957,49.69,13.5
age,6,0.14585,29.3,7.47
fnlwgt,1,0.19857,134121.87,61429.73
fnlwgt,2,0.07079,361429.52,185644.38
fnlwgt,3,0.21485,287922.3,90902.78
fnlwgt,4,0.15934,160820.85,66425.34
fnlwgt,5,0.20436,127945.67,60218.04
fnlwgt,6,0.15208,175072.62,71618.94
education-num,1,0.21242,7.33,3.24
education-num,2,0.47952,9.3,0.47
education-num,3,0.30806,11.98,2.08
capital-gain,1,0.91891,0.05,42.18
capital-gain,2,0.0236,6896.89,1386.3
capital-gain,3,0.00491,99413.59,7609.05
capital-gain,4,0.0215,14477.55,5509.19
capital-gain,5,0.03108,3114.35,1197.44
capital-loss,1,0.03581,1834.96,208.73
capital-loss,2,0.95209,0,2.32
capital-loss,3,0.0112,2103.41,542.26
capital-loss,4,0.0009,542.76,229.63
label,1,0.23984,1,0.01
label,2,0.76016,0,0
