VarName,Centroid_i,weight,Mean,Std
Amount,1,0.05646,74.05,25.22
Amount,2,0.05167,79.17,28.17
Amount,3,0.11023,32.76,12.24
Amount,4,0.08512,43.38,16.88
Amount,5,0.25107,2.56,2.39
Amount,6,0.23587,13.14,5.97
Amount,7,0.08139,206.68,78.66
Amount,8,0.06471,121.44,40.17
Amount,9,0.01151,1599.32,1262.23
Amount,10,0.05197,488.85,231.53
V1,1,0.10805,-0.38,1.03
V1,2,0.24892,1.68,0.41
V1,3,0.14585,1.52,0.43
V1,4,0.14892,-0.89,0.77
V1,5,0.11947,-0.54,0.96
V1,6,0.10933,-2.04,1.86
V1,7,0.10033,-0.26,1.06
V1,8,0.01914,-6.88,5.33
V2,1,0.18505,-0.06,1.02
V2,2,0.2184,0.23,0.79
V2,3,0.18451,-0.07,1.03
V2,4,0.20343,0.14,0.86
V2,5,0.18895,-0.23,2.46
V2,6,0.01966,-2.96,7.88
V3,1,0.12653,-0.55,1.47
V3,2,0.12158,0.55,1.03
V3,3,0.13579,0.76,0.87
V3,4,0.11804,0.36,1.14
V3,5,0.11848,-0.13,1.34
V3,6,0.13417,-0.85,1.56
V3,7,0.00894,-5.26,5.06
V3,8,0.11763,0.13,1.24
V3,9,0.11883,0.32,1.16
V4,1,0.16883,0.07,0.86
V4,2,0.14232,-0.7,1.32
V4,3,0.11877,1.24,2.23
V4,4,0.15318,-0.12,1
V4,5,0.12403,0.69,1.96
V4,6,0.14658,-0.44,1.2
V4,7,0.14629,-0.47,1.22
V5,1,0.1736,-0.17,0.71
V5,2,0.14873,-0.11,0.96
V5,3,0.17018,-0.18,0.74
V5,4,0.15248,0.16,1.53
V5,5,0.16298,-0.18,0.79
V5,6,0.01644,-1.03,6.88
V5,7,0.1756,0.79,1.53
V6,1,0.13795,-0.63,0.47
V6,2,0.09197,0.17,0.73
V6,3,0.12753,-0.57,0.52
V6,4,0.1246,-0.55,0.54
V6,5,0.10242,-0.11,0.73
V6,6,0.11532,-0.45,0.6
V6,7,0.08796,0.23,0.74
V6,8,0.21224,1.4,2.2
V7,1,0.19398,-0.05,0.82
V7,2,0.21787,0.06,0.69
V7,3,0.01676,-0.72,7.07
V7,4,0.20489,0.01,0.75
V7,5,0.17118,-0.06,1.67
V7,6,0.19533,-0.04,0.81
V8,1,0.09383,0,0.32
V8,2,0.16553,-0.09,0.18
V8,3,0.13647,-0.08,0.2
V8,4,0.10746,0.47,0.5
V8,5,0.09098,0.1,0.41
V8,6,0.09064,0.06,0.38
V8,7,0.02021,-3.04,6.32
V8,8,0.0939,0,0.32
V8,9,0.09236,-0.3,1.57
V8,10,0.10863,0.47,0.51
V9,1,0.13346,-0.06,0.71
V9,2,0.13146,-0.06,0.68
