VarName,Centroid_i,weight,Mean,Std
v10,1,0.16094,1876.13,765.03
v10,2,0.15416,1625.05,718.52
v10,3,0.22085,910.25,414.09
v10,4,0.15237,2396.76,673.61
v10,5,0.15592,1468.69,672.13
v10,6,0.15576,4277.16,1331.99
v1,1,0.13916,3012.1,201.23
v1,2,0.14641,3112.6,144.37
v1,3,0.1381,3068.75,173.11
v1,4,0.13645,3063.19,176.39
v1,5,0.14321,2893.09,217.33
v1,6,0.14787,3108.05,147.52
v1,7,0.1488,2900.94,218.16
v2,1,0.33631,144,109.23
v2,2,0.33626,165.53,115.19
v2,3,0.32743,113.59,93.13
v3,1,0.17056,8.74,3.82
v3,2,0.12668,12,4.83
v3,3,0.11917,16.27,5.83
v3,4,0.15969,22.37,7.51
v3,5,0.12343,12.99,5.07
v3,6,0.17839,8.11,3.55
v3,7,0.12209,17.06,6.01
v4,1,0.08927,380.24,142.68
v4,2,0.1183,219.97,85.02
v4,3,0.08081,517.38,191.24
v4,4,0.08959,611.6,233.43
v4,5,0.08947,334.27,129.23
v4,6,0.20801,54.86,38.88
v4,7,0.14528,126.37,63.11
v4,8,0.09673,275,107.1
v4,9,0.08254,433.1,157.82
v5,1,0.10155,50.93,37.46
v5,2,0.12081,7.33,9.2
v5,3,0.10147,46.29,31.96
v5,4,0.09379,127.06,103.24
v5,5,0.1,75.66,62.02
v5,6,0.1139,24.52,17.66
v5,7,0.16155,3,5.45
v5,8,0.103,39.77,26.73
v5,9,0.10394,72.31,61.04
v6,1,0.21789,1353.32,642.83
v6,2,0.33976,3814.38,1405.37
v6,3,0.25723,1116.45,540.91
v6,4,0.18512,2158.66,831.84
v7,1,0.1437,230.1,10.59
v7,2,0.08971,210.88,16.49
v7,3,0.09297,201.49,18.7
v7,4,0.19362,234.04,9.27
v7,5,0.09188,215.73,14.96
v7,6,0.09576,172.97,30.92
v7,7,0.09652,220.08,13.54
v7,8,0.10702,191.47,19.77
v7,9,0.08883,208.95,17.04
v8,1,0.15542,234.79,10.89
v8,2,0.13972,199.7,22.71
v8,3,0.1338,229.62,12.68
v8,4,0.13753,214.63,15.17
v8,5,0.12641,223.96,14.14
v8,6,0.13265,216.85,15.12
v8,7,0.17448,238.29,9.43
v9,1,0.36185,146.95,33.01
v9,2,0.30082,118.9,47.51
v9,3,0.33733,143.99,34.99
