VarName,Centroid_i,weight,Mean,Std
aq,1,0.84472,0,0
aq,2,0.00076,0.07,0.04
aq,3,0.00095,0.16,0.07
aq,4,0.0043,0.04,0.03
aq,5,0.00579,0.02,0.02
aq,6,0.13797,1,0
aq,7,0.00204,0.33,0.12
aq,8,0.00244,0.64,0.09
aq,9,0.00103,0.93,0.08
e,1,0.00172,283007.23,13515.29
e,2,0.00131,12827.73,9878.89
e,3,0.02506,2190.66,1854.78
e,4,0.00002,13773464.93,20775854.98
e,5,0.0041,55155,4516.6
e,6,0.00007,63149.93,51498.66
e,7,0.00004,234072.74,170418.9
e,8,0.00109,64556.18,17637.21
e,9,0.9666,519.15,491.2
f,1,0.77042,1.87,35.08
f,2,0.02962,4140.13,1950.8
f,3,0.0167,1791.75,885.54
f,4,0.03086,874.1,470.1
f,5,0.02799,11858.24,7541.79
f,6,0.00155,134478.41,374347.97
f,7,0.12287,209.57,153.63
g,1,0.00003,0.9,0.3
g,2,0.99997,0,0
h,1,0.00047,1.6,0.93
h,2,0.99953,0,0
i,1,0.00003,1.45,0.78
i,2,0.99997,0,0
j,1,0.00612,2.4,3.19
j,2,0.99388,0,0
k,1,0.99768,0,0
k,2,0.00232,1.02,0.21
l,1,0.17248,1,0
l,2,0.82752,0,0
m,1,0.00009,3,1.5
m,2,0.99641,0,0
m,3,0.00342,1,0.07
m,4,0.00003,228.68,272.17
m,5,0.00006,9.6,6.02
n,1,0.0002,0.98,0.12
n,2,0.9998,0,0
o,1,0.99998,0,0
o,2,0.00002,1.17,0.69
p,1,0.00005,4.49,2.62
p,2,0.99982,0,0
p,3,0.00009,1.56,1.03
p,4,0.00004,204.17,280.31
q,1,0.99973,0,0
q,2,0.00027,3.47,11.08
r,1,0.00006,1.3,0.95
r,2,0.99994,0,0
s,1,0.99926,0,0
s,2,0.00074,1.04,0.29
u,1,0.00004,0.92,0.27
u,2,0.99996,0,0
v,1,0.00242,1,0.04
v,2,0.99758,0,0
w,1,1,269.16,219.83
x,1,1,235.45,239.29
y,1,0.05702,1,0.01
y,2,0.93203,0,0
y,3,0.00064,0.24,0.1
y,4,0.00598,0.04,0.02
y,5,0.00215,0.68,0.17
y,6,0.00075,0.15,0.07
y,7,0.00143,0.13,0.04
z,1,0.05781,1,0.01
z,2,0.9376,0,0
z,3,0.00163,0.05,0.03
z,4,0.00152,0.71,0.17
z,5,0.00092,0.13,0.06
z,6,0.00053,0.24,0.1
aa,1,0.85393,0,0
aa,2,0.00398,0.94,0.04
aa,3,0.00292,0.92,0.06
aa,4,0.00342,0.29,0.11
aa,5,0.00197,0.71,0.13
aa,6,0.13378,1,0
ab,1,0.8556,0,0
ab,2,0.0008,0.13,0.07
ab,3,0.00128,0.91,0.08
ab,4,0.002,0.42,0.15
ab,5,0.00065,0.72,0.15
ab,6,0.13967,1,0
ac,1,0.07774,0.04,0.02
ac,2,0.80014,1,0
ac,3,0.00234,0.46,0.17
ac,4,0.00043,0.98,0.04
ac,5,0.00235,0.45,0.17
ac,6,0.05114,0.05,0.03
ac,7,0.03904,0.09,0.04
ac,8,0.00155,0.63,0.13
ac,9,0.02527,0.11,0.04
ad,1,0.00314,0.18,0.02
ad,2,0.00039,0.02,0.01
ad,3,0.00086,0.39,0.11
ad,4,0.8001,0,0
ad,5,0.02541,0.08,0.01
ad,6,0.01241,0.92,0.16
ad,7,0.07242,0.06,0.01
ad,8,0.08526,0.06,0.01
af,1,0.01518,0.1,0.03
af,2,0.92857,0,0
af,3,0.03155,0.2,0.09
af,4,0.02367,0.74,0.27
af,5,0.00104,0.01,0.01
ag,1,0.02694,82.96,37.63
ag,2,0.00159,243.14,8.05
ag,3,0.89119,255,0.12
ag,4,0.01152,187.75,24.98
ag,5,0.01859,99.42,44.96
ag,6,0.04725,16.88,13.8
ag,7,0.00292,229.84,12.76
ah,1,0.20442,9.87,6.23
ah,2,0.64338,255,0.26
ah,3,0.02953,246.29,3.13
ah,4,0.08048,253.57,1.17
ah,5,0.01215,137.89,41.6
ah,6,0.01333,205.75,29.27
ah,7,0.00511,41.25,17.97
ah,8,0.01159,71.44,27.99
aj,1,0.71524,1,0
aj,2,0.00982,0.97,0.02
aj,3,0.04466,0.98,0.01
aj,4,0.00764,0.72,0.11
aj,5,0.19912,0.04,0.02
aj,6,0.00622,0.88,0.05
aj,7,0.00837,0.24,0.09
aj,8,0.00894,0.49,0.15
ak,1,0.01091,0.02,0
ak,2,0.01079,0.87,0.19
ak,3,0.00137,0.27,0.06
ak,4,0.0817,0.01,0
ak,5,0.06177,0.06,0.02
ak,6,0.67356,0,0
ak,7,0.00599,0.15,0.02
ak,8,0.11063,0.06,0.01
ak,9,0.04328,0.05,0.01
al,1,1,0.55,0.49
am,1,0.00377,0.45,0.33
am,2,0.01913,0.01,0
